Lead_ID,Location,College,Year Of Study,Program Intrest,Lead Source
LD2841,Bangalore,IIT Bombay,3rd,Data Science,College Colloboration
LD2842,Ahmedabad,Ramdeobaba Univerisity,3rd,Human Resource,College Colloboration
LD2843,Mumbai,VNIT Nagpur,1st,Human Resource,Linkedin
LD2844,Bangalore,IIM Bangalore,2nd,Human Resource,Google Form
LD2845,Delhi,IIM A,2nd,Computer Science,Linkedin
LD2846,Mumbai,IIT Bombay,1st,Human Resource,Instagram
LD2847,Bangalore,IIT Bombay,4th,Human Resource,College Colloboration
LD2848,Raipur,Ramdeobaba Univerisity,2nd,Human Resource,Linkedin
LD2849,Mumbai,BIITS Raipur,4th,Computer Science,Google Form
LD2850,Ahmedabad,BIITS Raipur,1st,Data Science,Whatsapp
LD2851,Hyderabad,BIITS Raipur,1st,Robotics,Whatsapp
LD2852,Delhi,IIM A,4th,Robotics,Linkedin
LD2853,Bangalore,IIT Bombay,4th,Robotics,College Colloboration
LD2854,Nagpur,IIM A,1st,Artificial Intelligence,Linkedin
LD2855,Hyderabad,IIIT Hyderabad,4th,Human Resource,College Colloboration
LD2856,Delhi,VNIT Nagpur,4th,Finance,Google Form
LD2857,Delhi,BIITS Raipur,3rd,Artificial Intelligence,Whatsapp
LD2858,Mumbai,IIT Delhi,4th,Robotics,Instagram
LD2859,Delhi,Ramdeobaba Univerisity,1st,Artificial Intelligence,Whatsapp
LD2860,Delhi,VNIT Nagpur,4th,Robotics,Whatsapp
LD2861,Delhi,IIT Delhi,4th,Data Science,Instagram
LD2862,Ahmedabad,IIT Delhi,3rd,Artificial Intelligence,Instagram
LD2863,Raipur,IIM Bangalore,2nd,Artificial Intelligence,Whatsapp
LD2864,Delhi,IIT Delhi,3rd,Finance,Instagram
LD2865,Mumbai,Ramdeobaba Univerisity,2nd,Data Science,Google Form
LD2866,Bangalore,IIIT Hyderabad,3rd,Computer Science,Instagram
LD2867,Hyderabad,Ramdeobaba Univerisity,4th,Human Resource,Instagram
LD2868,Raipur,VNIT Nagpur,4th,Human Resource,Google Form
LD2869,Delhi,IIT Delhi,4th,Finance,Whatsapp
LD2870,Bangalore,IIM Bangalore,1st,Finance,Instagram
LD2871,Mumbai,IIM A,2nd,Robotics,Whatsapp
LD2872,Hyderabad,BIITS Raipur,4th,Artificial Intelligence,Instagram
LD2873,Mumbai,IIIT Hyderabad,1st,Finance,Linkedin
LD2874,Nagpur,VNIT Nagpur,3rd,Human Resource,Google Form
LD2875,Raipur,IIT Delhi,4th,Finance,Whatsapp
LD2876,Bangalore,IIT Bombay,4th,Human Resource,Whatsapp
LD2877,Hyderabad,Ramdeobaba Univerisity,1st,Human Resource,Linkedin
LD2878,Mumbai,Ramdeobaba Univerisity,1st,Data Science,Google Form
LD2879,Bangalore,IIM A,3rd,Artificial Intelligence,Whatsapp
LD2880,Raipur,IIT Delhi,2nd,Artificial Intelligence,Whatsapp
LD2881,Bangalore,VNIT Nagpur,4th,Human Resource,Google Form
LD2882,Bangalore,IIM A,2nd,Human Resource,Instagram
LD2883,Delhi,IIT Bombay,4th,Data Science,Linkedin
LD2884,Delhi,VNIT Nagpur,2nd,Human Resource,Whatsapp
LD2885,Delhi,BIITS Raipur,1st,Robotics,Instagram
LD2886,Mumbai,IIM Bangalore,1st,Data Science,Instagram
LD2887,Delhi,IIT Bombay,3rd,Artificial Intelligence,Google Form
LD2888,Hyderabad,IIT Delhi,3rd,Artificial Intelligence,Whatsapp
LD2889,Nagpur,VNIT Nagpur,1st,Robotics,Linkedin
LD2890,Hyderabad,IIIT Hyderabad,3rd,Computer Science,Linkedin
LD2891,Nagpur,IIT Delhi,1st,Computer Science,College Colloboration
LD2892,Nagpur,VNIT Nagpur,3rd,Human Resource,Instagram
LD2893,Delhi,VNIT Nagpur,1st,Artificial Intelligence,Whatsapp
LD2894,Hyderabad,IIT Bombay,3rd,Human Resource,Google Form
LD2895,Hyderabad,IIIT Hyderabad,4th,Data Science,Linkedin
LD2896,Mumbai,BIITS Raipur,1st,Finance,College Colloboration
LD2897,Delhi,IIM A,2nd,Artificial Intelligence,Whatsapp
LD2898,Delhi,IIT Bombay,2nd,Artificial Intelligence,College Colloboration
LD2899,Nagpur,VNIT Nagpur,4th,Artificial Intelligence,Instagram
LD2900,Ahmedabad,VNIT Nagpur,4th,Data Science,College Colloboration
LD2901,Nagpur,IIT Delhi,4th,Robotics,Google Form
LD2902,Ahmedabad,VNIT Nagpur,2nd,Computer Science,Google Form
LD2903,Raipur,IIT Delhi,4th,Human Resource,College Colloboration
LD2904,Nagpur,BIITS Raipur,2nd,Computer Science,Whatsapp
LD2905,Delhi,BIITS Raipur,4th,Robotics,Whatsapp
LD2906,Delhi,IIT Bombay,4th,Data Science,Google Form
LD2907,Raipur,IIT Bombay,1st,Data Science,Instagram
LD2908,Nagpur,BIITS Raipur,2nd,Finance,Google Form
LD2909,Ahmedabad,IIT Delhi,2nd,Artificial Intelligence,Google Form
LD2910,Nagpur,IIM A,2nd,Robotics,College Colloboration
LD2911,Raipur,Ramdeobaba Univerisity,3rd,Robotics,Google Form
LD2912,Ahmedabad,Ramdeobaba Univerisity,3rd,Data Science,Linkedin
LD2913,Raipur,IIT Bombay,2nd,Human Resource,Google Form
LD2914,Delhi,IIT Bombay,2nd,Data Science,College Colloboration
LD2915,Raipur,IIT Delhi,1st,Robotics,Google Form
LD2916,Raipur,Ramdeobaba Univerisity,4th,Artificial Intelligence,Google Form
LD2917,Raipur,BIITS Raipur,3rd,Finance,Linkedin
LD2918,Mumbai,IIIT Hyderabad,1st,Artificial Intelligence,Whatsapp
LD2919,Delhi,Ramdeobaba Univerisity,3rd,Finance,Linkedin
LD2920,Nagpur,IIM A,1st,Computer Science,Whatsapp
LD2921,Raipur,BIITS Raipur,4th,Data Science,Whatsapp
LD2922,Mumbai,IIT Bombay,3rd,Human Resource,Linkedin
LD2923,Raipur,IIM Bangalore,3rd,Robotics,Instagram
LD2924,Delhi,IIT Bombay,2nd,Robotics,Instagram
LD2925,Hyderabad,Ramdeobaba Univerisity,3rd,Finance,Instagram
LD2926,Mumbai,IIIT Hyderabad,2nd,Robotics,Instagram
LD2927,Raipur,IIT Bombay,1st,Artificial Intelligence,Linkedin
LD2928,Mumbai,IIM A,3rd,Computer Science,Linkedin
LD2929,Bangalore,IIM Bangalore,4th,Artificial Intelligence,Instagram
LD2930,Raipur,VNIT Nagpur,1st,Finance,Whatsapp
LD2931,Delhi,IIM A,4th,Human Resource,Linkedin
LD2932,Mumbai,IIM A,1st,Human Resource,Linkedin
LD2933,Mumbai,BIITS Raipur,3rd,Human Resource,Google Form
LD2934,Mumbai,IIM A,4th,Finance,College Colloboration
LD2935,Raipur,IIIT Hyderabad,4th,Robotics,Google Form
LD2936,Raipur,IIT Delhi,3rd,Robotics,Linkedin
LD2937,Hyderabad,VNIT Nagpur,3rd,Finance,Google Form
LD2938,Ahmedabad,BIITS Raipur,3rd,Robotics,Instagram
LD2939,Ahmedabad,BIITS Raipur,1st,Finance,Linkedin
LD2940,Ahmedabad,IIM A,1st,Robotics,College Colloboration
LD2941,Nagpur,IIIT Hyderabad,4th,Data Science,Whatsapp
LD2942,Delhi,IIT Bombay,1st,Robotics,Instagram
LD2943,Ahmedabad,Ramdeobaba Univerisity,4th,Robotics,Linkedin
LD2944,Bangalore,IIM Bangalore,1st,Human Resource,Instagram
LD2945,Delhi,IIT Delhi,2nd,Data Science,Google Form
LD2946,Nagpur,VNIT Nagpur,1st,Data Science,Whatsapp
LD2947,Raipur,IIT Bombay,2nd,Computer Science,Linkedin
LD2948,Bangalore,BIITS Raipur,1st,Finance,Linkedin
LD2949,Mumbai,IIM A,4th,Robotics,Google Form
LD2950,Hyderabad,IIT Delhi,4th,Robotics,Google Form
LD2951,Nagpur,IIM A,3rd,Robotics,Instagram
LD2952,Raipur,VNIT Nagpur,3rd,Data Science,Linkedin
LD2953,Nagpur,IIT Bombay,4th,Computer Science,College Colloboration
LD2954,Raipur,Ramdeobaba Univerisity,1st,Human Resource,Instagram
LD2955,Raipur,IIT Delhi,3rd,Artificial Intelligence,Linkedin
LD2956,Delhi,IIM Bangalore,1st,Finance,College Colloboration
LD2957,Ahmedabad,IIIT Hyderabad,4th,Finance,College Colloboration
LD2958,Raipur,BIITS Raipur,1st,Data Science,Instagram
LD2959,Nagpur,VNIT Nagpur,4th,Robotics,College Colloboration
LD2960,Delhi,Ramdeobaba Univerisity,2nd,Finance,College Colloboration
LD2961,Bangalore,IIT Bombay,4th,Human Resource,College Colloboration
LD2962,Hyderabad,IIM A,3rd,Data Science,Whatsapp
LD2963,Raipur,IIM Bangalore,3rd,Human Resource,College Colloboration
LD2964,Delhi,IIM Bangalore,2nd,Finance,Whatsapp
LD2965,Nagpur,Ramdeobaba Univerisity,1st,Computer Science,College Colloboration
LD2966,Delhi,Ramdeobaba Univerisity,4th,Data Science,Google Form
LD2967,Raipur,IIT Bombay,4th,Data Science,Whatsapp
LD2968,Ahmedabad,IIT Bombay,3rd,Computer Science,Whatsapp
LD2969,Delhi,BIITS Raipur,2nd,Finance,College Colloboration
LD2970,Bangalore,IIM A,1st,Computer Science,Whatsapp
LD2971,Raipur,IIM Bangalore,1st,Data Science,Whatsapp
LD2972,Ahmedabad,BIITS Raipur,4th,Computer Science,Google Form
LD2973,Raipur,IIT Delhi,4th,Finance,Instagram
LD2974,Raipur,IIT Bombay,4th,Finance,Instagram
LD2975,Raipur,IIT Bombay,3rd,Computer Science,Linkedin
LD2976,Hyderabad,IIT Delhi,4th,Robotics,Linkedin
LD2977,Bangalore,IIT Bombay,1st,Robotics,Linkedin
LD2978,Ahmedabad,IIIT Hyderabad,3rd,Artificial Intelligence,Google Form
LD2979,Mumbai,Ramdeobaba Univerisity,1st,Robotics,College Colloboration
LD2980,Mumbai,IIT Bombay,1st,Artificial Intelligence,Google Form
LD2981,Hyderabad,BIITS Raipur,2nd,Computer Science,Linkedin
LD2982,Ahmedabad,IIM A,3rd,Artificial Intelligence,Google Form
LD2983,Ahmedabad,IIM Bangalore,1st,Artificial Intelligence,College Colloboration
LD2984,Mumbai,IIT Bombay,2nd,Data Science,Linkedin
LD2985,Hyderabad,IIT Bombay,1st,Computer Science,Google Form
LD2986,Bangalore,VNIT Nagpur,1st,Computer Science,Whatsapp
LD2987,Delhi,BIITS Raipur,4th,Computer Science,Google Form
LD2988,Mumbai,IIT Bombay,1st,Finance,Whatsapp
LD2989,Hyderabad,IIIT Hyderabad,4th,Data Science,Instagram
LD2990,Ahmedabad,IIM Bangalore,1st,Human Resource,Instagram
LD2991,Raipur,BIITS Raipur,2nd,Artificial Intelligence,Whatsapp
LD2992,Hyderabad,IIM Bangalore,4th,Computer Science,Google Form
LD2993,Hyderabad,IIM A,1st,Human Resource,Instagram
LD2994,Mumbai,Ramdeobaba Univerisity,2nd,Robotics,Instagram
LD2995,Delhi,IIIT Hyderabad,3rd,Computer Science,Linkedin
LD2996,Delhi,VNIT Nagpur,4th,Robotics,Instagram
LD2997,Mumbai,IIM A,3rd,Robotics,Google Form
LD2998,Delhi,Ramdeobaba Univerisity,1st,Data Science,College Colloboration
LD2999,Hyderabad,IIIT Hyderabad,2nd,Artificial Intelligence,College Colloboration
LD3000,Mumbai,Ramdeobaba Univerisity,4th,Human Resource,Linkedin
LD3001,Raipur,IIIT Hyderabad,2nd,Data Science,Whatsapp
LD3002,Hyderabad,IIT Bombay,4th,Artificial Intelligence,College Colloboration
LD3003,Delhi,IIM A,2nd,Artificial Intelligence,Instagram
LD3004,Nagpur,IIT Bombay,2nd,Finance,Instagram
LD3005,Bangalore,IIIT Hyderabad,1st,Artificial Intelligence,College Colloboration
LD3006,Raipur,Ramdeobaba Univerisity,4th,Data Science,Google Form
LD3007,Hyderabad,IIT Bombay,4th,Data Science,Whatsapp
LD3008,Mumbai,IIIT Hyderabad,2nd,Artificial Intelligence,Instagram
LD3009,Delhi,IIM A,1st,Computer Science,Whatsapp
LD3010,Hyderabad,IIT Bombay,4th,Data Science,Linkedin
LD3011,Mumbai,BIITS Raipur,2nd,Human Resource,Instagram
LD3012,Delhi,IIT Bombay,2nd,Data Science,Linkedin
LD3013,Nagpur,IIM Bangalore,3rd,Human Resource,College Colloboration
LD3014,Delhi,IIT Bombay,2nd,Artificial Intelligence,Instagram
LD3015,Raipur,IIT Delhi,4th,Finance,Google Form
LD3016,Mumbai,IIM Bangalore,4th,Robotics,Linkedin
LD3017,Delhi,IIT Bombay,1st,Robotics,Instagram
LD3018,Bangalore,IIT Bombay,1st,Data Science,College Colloboration
LD3019,Mumbai,VNIT Nagpur,3rd,Computer Science,Google Form
LD3020,Hyderabad,IIT Bombay,2nd,Finance,Instagram
LD3021,Nagpur,IIM A,4th,Finance,Instagram
LD3022,Mumbai,IIT Bombay,1st,Human Resource,College Colloboration
LD3023,Nagpur,IIM Bangalore,1st,Finance,Instagram
LD3024,Raipur,IIT Delhi,3rd,Robotics,College Colloboration
LD3025,Raipur,VNIT Nagpur,2nd,Finance,Instagram
LD3026,Raipur,IIT Delhi,3rd,Computer Science,Google Form
LD3027,Raipur,IIIT Hyderabad,1st,Computer Science,Google Form
LD3028,Nagpur,IIIT Hyderabad,1st,Computer Science,Whatsapp
LD3029,Hyderabad,IIM Bangalore,2nd,Human Resource,Instagram
LD3030,Bangalore,IIT Bombay,3rd,Human Resource,College Colloboration
LD3031,Raipur,Ramdeobaba Univerisity,3rd,Robotics,Instagram
LD3032,Ahmedabad,VNIT Nagpur,4th,Data Science,Instagram
LD3033,Ahmedabad,Ramdeobaba Univerisity,3rd,Artificial Intelligence,Instagram
LD3034,Nagpur,VNIT Nagpur,4th,Data Science,College Colloboration
LD3035,Delhi,VNIT Nagpur,2nd,Computer Science,Whatsapp
LD3036,Ahmedabad,IIT Delhi,1st,Data Science,Whatsapp
LD3037,Raipur,IIM Bangalore,1st,Finance,Whatsapp
LD3038,Ahmedabad,VNIT Nagpur,3rd,Data Science,Whatsapp
LD3039,Raipur,IIT Bombay,2nd,Computer Science,Google Form
LD3040,Bangalore,IIT Bombay,3rd,Robotics,College Colloboration
LD3041,Raipur,IIM Bangalore,2nd,Finance,Instagram
LD3042,Bangalore,BIITS Raipur,1st,Finance,Whatsapp
LD3043,Mumbai,IIM A,1st,Human Resource,College Colloboration
LD3044,Raipur,Ramdeobaba Univerisity,1st,Robotics,College Colloboration
LD3045,Nagpur,IIT Delhi,4th,Computer Science,Linkedin
LD3046,Delhi,VNIT Nagpur,2nd,Human Resource,Linkedin
LD3047,Bangalore,IIT Delhi,4th,Artificial Intelligence,College Colloboration
LD3048,Ahmedabad,IIT Bombay,2nd,Finance,Linkedin
LD3049,Hyderabad,BIITS Raipur,4th,Artificial Intelligence,College Colloboration
LD3050,Mumbai,IIT Delhi,1st,Data Science,College Colloboration
LD3051,Bangalore,IIT Delhi,3rd,Finance,Whatsapp
LD3052,Bangalore,IIM A,4th,Human Resource,College Colloboration
LD3053,Mumbai,BIITS Raipur,3rd,Finance,Instagram
LD3054,Hyderabad,IIM Bangalore,1st,Human Resource,Linkedin
LD3055,Raipur,IIT Delhi,3rd,Robotics,Whatsapp
LD3056,Delhi,IIM A,3rd,Data Science,Linkedin
LD3057,Hyderabad,IIT Bombay,2nd,Artificial Intelligence,Google Form
LD3058,Nagpur,BIITS Raipur,1st,Data Science,College Colloboration
LD3059,Raipur,IIM Bangalore,4th,Finance,Linkedin
LD3060,Hyderabad,IIM A,3rd,Data Science,Linkedin
LD3061,Raipur,BIITS Raipur,3rd,Robotics,Whatsapp
LD3062,Bangalore,IIM A,2nd,Finance,Instagram
LD3063,Hyderabad,IIM Bangalore,1st,Human Resource,College Colloboration
LD3064,Ahmedabad,IIT Delhi,1st,Computer Science,Google Form
LD3065,Ahmedabad,IIIT Hyderabad,1st,Robotics,Linkedin
LD3066,Delhi,IIM A,1st,Robotics,Whatsapp
LD3067,Nagpur,BIITS Raipur,2nd,Data Science,Instagram
LD3068,Mumbai,IIIT Hyderabad,1st,Computer Science,Instagram
LD3069,Mumbai,Ramdeobaba Univerisity,2nd,Data Science,College Colloboration
LD3070,Mumbai,IIT Bombay,1st,Artificial Intelligence,College Colloboration
LD3071,Bangalore,IIM A,1st,Human Resource,Whatsapp
LD3072,Ahmedabad,IIT Bombay,2nd,Artificial Intelligence,Whatsapp
LD3073,Nagpur,VNIT Nagpur,4th,Computer Science,Whatsapp
LD3074,Bangalore,IIIT Hyderabad,1st,Data Science,Google Form
LD3075,Ahmedabad,IIT Bombay,1st,Robotics,College Colloboration
LD3076,Bangalore,IIT Bombay,1st,Finance,Whatsapp
LD3077,Ahmedabad,IIT Bombay,3rd,Robotics,Google Form
LD3078,Ahmedabad,BIITS Raipur,2nd,Finance,Linkedin
LD3079,Nagpur,VNIT Nagpur,3rd,Computer Science,Google Form
LD3080,Delhi,IIIT Hyderabad,1st,Artificial Intelligence,Instagram
LD3081,Ahmedabad,VNIT Nagpur,3rd,Human Resource,Google Form
LD3082,Mumbai,IIM Bangalore,3rd,Human Resource,Whatsapp
LD3083,Bangalore,IIM Bangalore,3rd,Artificial Intelligence,College Colloboration
LD3084,Hyderabad,IIT Bombay,2nd,Finance,Linkedin
LD3085,Raipur,IIT Bombay,1st,Computer Science,Google Form
LD3086,Raipur,IIM Bangalore,4th,Artificial Intelligence,Linkedin
LD3087,Nagpur,IIT Delhi,4th,Robotics,College Colloboration
LD3088,Mumbai,IIM Bangalore,3rd,Artificial Intelligence,College Colloboration
LD3089,Delhi,VNIT Nagpur,3rd,Human Resource,Linkedin
LD3090,Mumbai,IIT Delhi,4th,Finance,Linkedin
LD3091,Delhi,VNIT Nagpur,3rd,Data Science,Linkedin
LD3092,Hyderabad,VNIT Nagpur,3rd,Data Science,Google Form
LD3093,Delhi,IIM Bangalore,1st,Computer Science,Google Form
LD3094,Bangalore,IIT Bombay,2nd,Artificial Intelligence,College Colloboration
LD3095,Ahmedabad,BIITS Raipur,1st,Artificial Intelligence,Instagram
LD3096,Mumbai,VNIT Nagpur,1st,Artificial Intelligence,Instagram
LD3097,Bangalore,IIT Bombay,2nd,Finance,College Colloboration
LD3098,Delhi,IIM Bangalore,4th,Human Resource,Linkedin
LD3099,Nagpur,IIM Bangalore,4th,Data Science,Instagram
LD3100,Delhi,IIIT Hyderabad,1st,Artificial Intelligence,Google Form
LD3101,Mumbai,IIT Delhi,3rd,Computer Science,Google Form
LD3102,Bangalore,IIM A,4th,Data Science,College Colloboration
LD3103,Raipur,IIT Delhi,4th,Robotics,Instagram
LD3104,Delhi,IIT Delhi,4th,Computer Science,Linkedin
LD3105,Ahmedabad,IIM Bangalore,2nd,Computer Science,College Colloboration
LD3106,Ahmedabad,IIT Delhi,4th,Artificial Intelligence,College Colloboration
LD3107,Raipur,BIITS Raipur,4th,Computer Science,Instagram
LD3108,Raipur,Ramdeobaba Univerisity,4th,Robotics,Google Form
LD3109,Nagpur,Ramdeobaba Univerisity,3rd,Human Resource,Google Form
LD3110,Raipur,IIT Delhi,3rd,Data Science,College Colloboration
LD3111,Hyderabad,IIT Bombay,2nd,Human Resource,College Colloboration
LD3112,Hyderabad,IIT Bombay,3rd,Computer Science,Linkedin
LD3113,Raipur,IIT Delhi,3rd,Human Resource,College Colloboration
LD3114,Raipur,IIT Bombay,4th,Data Science,Instagram
LD3115,Hyderabad,IIM Bangalore,3rd,Data Science,Google Form
LD3116,Delhi,BIITS Raipur,3rd,Artificial Intelligence,College Colloboration
LD3117,Bangalore,IIM Bangalore,1st,Finance,College Colloboration
LD3118,Raipur,VNIT Nagpur,1st,Human Resource,Linkedin
LD3119,Bangalore,IIT Bombay,3rd,Data Science,Google Form
LD3120,Hyderabad,Ramdeobaba Univerisity,2nd,Artificial Intelligence,Google Form
LD3121,Raipur,IIM A,1st,Data Science,Instagram
LD3122,Hyderabad,IIM A,2nd,Human Resource,Linkedin
LD3123,Raipur,IIT Delhi,2nd,Artificial Intelligence,Whatsapp
LD3124,Mumbai,IIM Bangalore,1st,Robotics,Instagram
LD3125,Hyderabad,IIT Delhi,1st,Data Science,College Colloboration
LD3126,Raipur,IIM Bangalore,4th,Computer Science,Linkedin
LD3127,Nagpur,VNIT Nagpur,3rd,Robotics,Linkedin
LD3128,Bangalore,IIM A,1st,Data Science,Whatsapp
LD3129,Ahmedabad,VNIT Nagpur,1st,Computer Science,Instagram
LD3130,Delhi,IIT Delhi,3rd,Finance,Linkedin
LD3131,Ahmedabad,IIT Delhi,2nd,Human Resource,Linkedin
LD3132,Raipur,IIT Delhi,4th,Computer Science,Linkedin
LD3133,Mumbai,IIIT Hyderabad,3rd,Robotics,Whatsapp
LD3134,Bangalore,Ramdeobaba Univerisity,3rd,Computer Science,College Colloboration
LD3135,Delhi,IIM A,4th,Human Resource,Whatsapp
LD3136,Bangalore,IIT Delhi,4th,Computer Science,Whatsapp
LD3137,Raipur,IIM Bangalore,2nd,Human Resource,Instagram
LD3138,Bangalore,IIM Bangalore,2nd,Data Science,Instagram
LD3139,Mumbai,BIITS Raipur,2nd,Human Resource,Instagram
LD3140,Raipur,IIIT Hyderabad,1st,Computer Science,Instagram
LD3141,Raipur,IIIT Hyderabad,2nd,Finance,Instagram
LD3142,Bangalore,IIT Delhi,3rd,Artificial Intelligence,Whatsapp
LD3143,Ahmedabad,VNIT Nagpur,4th,Computer Science,Google Form
LD3144,Hyderabad,VNIT Nagpur,2nd,Human Resource,Instagram
LD3145,Mumbai,IIM A,3rd,Computer Science,Linkedin
LD3146,Raipur,BIITS Raipur,2nd,Finance,Instagram
LD3147,Bangalore,IIM A,1st,Human Resource,Linkedin
LD3148,Mumbai,IIIT Hyderabad,1st,Finance,Linkedin
LD3149,Nagpur,Ramdeobaba Univerisity,4th,Finance,Linkedin
LD3150,Nagpur,VNIT Nagpur,4th,Human Resource,Instagram
LD3151,Delhi,IIM Bangalore,4th,Robotics,Instagram
LD3152,Ahmedabad,IIM A,4th,Artificial Intelligence,Linkedin
LD3153,Bangalore,IIM A,4th,Human Resource,Instagram
LD3154,Ahmedabad,BIITS Raipur,3rd,Data Science,Whatsapp
LD3155,Hyderabad,Ramdeobaba Univerisity,3rd,Data Science,College Colloboration
LD3156,Nagpur,BIITS Raipur,4th,Artificial Intelligence,Whatsapp
LD3157,Raipur,IIM Bangalore,4th,Data Science,Linkedin
LD3158,Delhi,IIIT Hyderabad,2nd,Human Resource,College Colloboration
LD3159,Bangalore,IIM Bangalore,3rd,Finance,Linkedin
LD3160,Raipur,IIT Bombay,1st,Robotics,Instagram
LD3161,Ahmedabad,IIM Bangalore,3rd,Data Science,Google Form
LD3162,Delhi,IIT Delhi,3rd,Computer Science,College Colloboration
LD3163,Hyderabad,IIT Delhi,4th,Finance,Linkedin
LD3164,Ahmedabad,VNIT Nagpur,2nd,Human Resource,Linkedin
LD3165,Ahmedabad,IIM A,4th,Computer Science,College Colloboration
LD3166,Hyderabad,IIIT Hyderabad,3rd,Human Resource,Instagram
LD3167,Ahmedabad,IIT Bombay,2nd,Computer Science,Instagram
LD3168,Ahmedabad,IIM Bangalore,3rd,Computer Science,College Colloboration
LD3169,Nagpur,Ramdeobaba Univerisity,3rd,Human Resource,Google Form
LD3170,Delhi,IIT Delhi,1st,Human Resource,Linkedin
LD3171,Delhi,IIT Bombay,3rd,Artificial Intelligence,Whatsapp
LD3172,Bangalore,IIT Bombay,1st,Computer Science,College Colloboration
LD3173,Mumbai,IIT Bombay,3rd,Data Science,Whatsapp
LD3174,Bangalore,IIT Bombay,1st,Computer Science,Whatsapp
LD3175,Ahmedabad,VNIT Nagpur,3rd,Robotics,College Colloboration
LD3176,Delhi,IIT Bombay,4th,Artificial Intelligence,Linkedin
LD3177,Raipur,IIT Bombay,3rd,Artificial Intelligence,Linkedin
LD3178,Bangalore,VNIT Nagpur,2nd,Data Science,Linkedin
LD3179,Mumbai,IIT Bombay,2nd,Human Resource,Whatsapp
LD3180,Mumbai,IIT Delhi,4th,Data Science,Google Form
LD3181,Ahmedabad,IIT Bombay,2nd,Finance,Google Form
LD3182,Ahmedabad,IIT Bombay,3rd,Computer Science,Linkedin
LD3183,Delhi,VNIT Nagpur,2nd,Robotics,Linkedin
LD3184,Delhi,IIT Delhi,3rd,Finance,College Colloboration
LD3185,Bangalore,BIITS Raipur,4th,Robotics,Instagram
LD3186,Raipur,Ramdeobaba Univerisity,2nd,Robotics,College Colloboration
LD3187,Delhi,IIT Delhi,4th,Data Science,Google Form
LD3188,Hyderabad,IIT Delhi,4th,Finance,Instagram
LD3189,Ahmedabad,IIM A,4th,Human Resource,Whatsapp
LD3190,Bangalore,BIITS Raipur,1st,Artificial Intelligence,Linkedin
LD3191,Delhi,IIT Delhi,1st,Artificial Intelligence,Google Form
LD3192,Delhi,IIM Bangalore,3rd,Computer Science,Instagram
LD3193,Bangalore,IIM Bangalore,4th,Robotics,Linkedin
LD3194,Bangalore,Ramdeobaba Univerisity,4th,Robotics,College Colloboration
LD3195,Bangalore,IIM Bangalore,2nd,Artificial Intelligence,Linkedin
LD3196,Nagpur,BIITS Raipur,2nd,Data Science,Whatsapp
LD3197,Raipur,IIT Delhi,2nd,Artificial Intelligence,Whatsapp
LD3198,Bangalore,IIM Bangalore,3rd,Computer Science,Linkedin
LD3199,Delhi,IIT Bombay,4th,Robotics,Google Form
LD3200,Mumbai,IIM A,1st,Data Science,Whatsapp
LD3201,Ahmedabad,Ramdeobaba Univerisity,1st,Human Resource,Whatsapp
LD3202,Bangalore,IIT Delhi,2nd,Data Science,Linkedin
LD3203,Bangalore,IIM A,1st,Data Science,Google Form
LD3204,Hyderabad,IIM A,2nd,Artificial Intelligence,Google Form
LD3205,Nagpur,IIM A,2nd,Finance,College Colloboration
LD3206,Bangalore,Ramdeobaba Univerisity,1st,Computer Science,Linkedin
LD3207,Bangalore,BIITS Raipur,1st,Finance,Instagram
LD3208,Ahmedabad,VNIT Nagpur,4th,Computer Science,Linkedin
LD3209,Raipur,IIM Bangalore,2nd,Robotics,Google Form
LD3210,Bangalore,VNIT Nagpur,1st,Artificial Intelligence,Linkedin
LD3211,Hyderabad,BIITS Raipur,2nd,Human Resource,Whatsapp
LD3212,Nagpur,BIITS Raipur,1st,Human Resource,College Colloboration
LD3213,Delhi,IIIT Hyderabad,3rd,Robotics,College Colloboration
LD3214,Ahmedabad,IIT Bombay,3rd,Human Resource,College Colloboration
LD3215,Raipur,IIIT Hyderabad,1st,Artificial Intelligence,Linkedin
LD3216,Ahmedabad,BIITS Raipur,3rd,Robotics,Instagram
LD3217,Delhi,IIT Bombay,4th,Artificial Intelligence,Linkedin
LD3218,Ahmedabad,VNIT Nagpur,3rd,Finance,Instagram
LD3219,Hyderabad,BIITS Raipur,2nd,Artificial Intelligence,Google Form
LD3220,Hyderabad,IIT Bombay,1st,Computer Science,Whatsapp
LD3221,Mumbai,BIITS Raipur,1st,Data Science,Google Form
LD3222,Raipur,BIITS Raipur,3rd,Data Science,College Colloboration
LD3223,Delhi,Ramdeobaba Univerisity,3rd,Artificial Intelligence,Google Form
LD3224,Mumbai,IIIT Hyderabad,2nd,Finance,Linkedin
LD3225,Raipur,IIM Bangalore,3rd,Finance,Linkedin
LD3226,Bangalore,Ramdeobaba Univerisity,3rd,Human Resource,Instagram
LD3227,Bangalore,BIITS Raipur,4th,Artificial Intelligence,Google Form
LD3228,Nagpur,IIIT Hyderabad,2nd,Robotics,Linkedin
LD3229,Mumbai,IIM Bangalore,2nd,Computer Science,Linkedin
LD3230,Hyderabad,IIM Bangalore,1st,Artificial Intelligence,Google Form
LD3231,Bangalore,IIIT Hyderabad,3rd,Computer Science,Whatsapp
LD3232,Raipur,IIT Delhi,4th,Computer Science,Instagram
LD3233,Delhi,IIT Bombay,3rd,Data Science,Linkedin
